,class,layer,A,B,correlation,pvalue
288,grey_whale,conv_1,ablation_impact,mean_sq_cca_corr,-0.7323529411764707,0.0012549581661522623
289,grey_whale,conv_1,ablation_impact,mean_cca_corr,-0.7294117647058823,0.0013430786823836695
290,grey_whale,conv_2,decoding_accuracy_delta,cka,0.55,0.027293972709730593
291,grey_whale,conv_2,decoding_accuracy_delta,procrustes,0.55,0.027293972709730593
292,grey_whale,conv_2,decoding_accuracy_delta,pwcca,0.3529411764705882,0.17995865788498183
293,grey_whale,conv_2,decoding_accuracy_delta,mean_sq_cca_corr,-0.3529411764705882,0.17995865788498183
294,grey_whale,conv_2,decoding_accuracy_delta,mean_cca_corr,-0.3529411764705882,0.17995865788498183
295,grey_whale,conv_2,ablation_impact,cka,0.7264705882352941,0.0014361826350785247
296,grey_whale,conv_2,ablation_impact,procrustes,0.7264705882352941,0.0014361826350785247
297,grey_whale,conv_2,ablation_impact,pwcca,0.7558823529411764,0.0007058905869098943
298,grey_whale,conv_2,ablation_impact,mean_sq_cca_corr,-0.7558823529411764,0.0007058905869098943
